GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC01
0400000US01,01,Alabama,777592
0400000US02,02,Alaska,80492
0400000US04,04,Arizona,833586
0400000US05,05,Arkansas,492769
0400000US06,06,California,4028190
0400000US08,08,Colorado,550037
0400000US09,09,Connecticut,384525
0400000US10,10,Delaware,113138
0400000US11,11,District of Columbia,73230
0400000US12,12,Florida,2615568
0400000US13,13,Georgia,1223531
0400000US15,15,Hawaii,152540
0400000US16,16,Idaho,210537
0400000US17,17,Illinois,1376858
0400000US18,18,Indiana,883589
0400000US19,19,Iowa,356817
0400000US20,20,Kansas,353735
0400000US21,21,Kentucky,745988
0400000US22,22,Louisiana,681837
0400000US23,23,Maine,208854
0400000US24,24,Maryland,625691
0400000US25,25,Massachusetts,773726
0400000US26,26,Michigan,1394263
0400000US27,27,Minnesota,573406
0400000US28,28,Mississippi,478109
0400000US29,29,Missouri,858449
0400000US30,30,Montana,136325
0400000US31,31,Nebraska,208135
0400000US32,32,Nevada,363226
0400000US33,33,New Hampshire,161401
0400000US34,34,New Jersey,917275
0400000US35,35,New Mexico,305601
0400000US36,36,New York,2187789
0400000US37,37,North Carolina,1331570
0400000US38,38,North Dakota,77651
0400000US39,39,Ohio,1571654
0400000US40,40,Oklahoma,594454
0400000US41,41,Oregon,577998
0400000US42,42,Pennsylvania,1719069
0400000US44,44,Rhode Island,136002
0400000US45,45,South Carolina,691835
0400000US46,46,South Dakota,102319
0400000US47,47,Tennessee,989612
0400000US48,48,Texas,3083141
0400000US49,49,Utah,279406
0400000US50,50,Vermont,87058
0400000US51,51,Virginia,915366
0400000US53,53,Washington,889964
0400000US54,54,West Virginia,355250
0400000US55,55,Wisconsin,671220
0400000US56,56,Wyoming,72151
0400000US72,72,Puerto Rico,745561
