General Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,State,Status,Name,Address,Address 2,City,Zip Code,E-mail Address (if applicable),Website Address (if applicble),Phone,TTY,Toll-free Phone,Toll-free TTY,Fax,Operating Agency Name,Operating Agency Address,Operating Agency Address 2,Operating Agency State (FY2014 and earlier),Operating Agency Zip Code,Operating Agency E-mail,Operating Agency Website,Operating Agency Phone,Operating Agency TTY,Operating Agency Toll-free Phone,Operating Agency Toll-free TTY,Operating Agency Fax,Name of CAP Director/Coordinator,Person to contact regarding report,Contact Person Phone
2011,Arkansas,Published,Disability Rights Center,1100 N. University Suite 201,,Little Rock,72207,panda@arkdisabilityrights.org,http://arkdisabilityrights.org,501 296-1775,501 296-1775,800 482-1174,800 482-1174,501 296-1779,Disability Rights Center,1100 N. University Suite 201,,AR,72207,panda@arkdisabilityrights.org,http://arkdisabilityrights.org,501 296-1775,501 296-1775,800 482-1174,800 482-1174,501 296-1779,,,
2011,Connecticut,Published,Protection and Advocacy for Persons with Disabilit,60B Weston Street,,Hartford,6120,gretchen.knauff@ct.gov,http://www.ct.gov/opapd,(860) 297-4300,(860) 297-4380,(800) 842-7303,(800) 842-7303,(860) 566-8714,Protection and Advocacy for Persons with Disabilit,60B Weston Street,,CT,6120,gretchen.knauff@ct.gov,http://www.ct.gov/opapd,(860) 297-4300,(860) 297-4380,(800) 842-7303,(800) 842-7303,(860) 566-8714,James McGaughey,Gretchen Knauff,860.297.4342
2011,Delaware,Published,United Cerebral Palsy of Dela. Inc.,700A River Road,,Wilmington,19809,dmoore.cap@ucpde.org,http://www.ucpde.org,302-764-2400,302-764-2400,,,302-764-8713,United Cerebral Palsy of Dela. Inc.,700A River Road,,DE,19809,dmoore.cap@ucpde.org,http://www.ucpde.org,302-764-2400,302-764-2400,,,302-764-8713,Don Moore,Don Moore,302-764-6216
2011,Florida,Published,Disability Rights Florida,2728 Centerview Drive,Suite 102,Tallahassee FL,32301,coreyh@disabilityrightsflorida.org,http://www.disabilityrightsflorida.org,(850) 488-9071,(800) 346-8127,(800) 342-0823,(800) 346-8127,(850) 488-8640,,,,FL,,,,,,,,,Corey Hinds,Corey Hinds,850-488-9071
2011,Idaho,Published,Disability Rights Idaho Inc.,4477 Emerald Street,Suite B-100,Boise,83706,info@disabilityrightsidaho.org,http://disabilityrightsidaho.o,208-336-5353,208-336-5353,866-262-3462,866-262-3462,208-336-5396,Disability Rights Idaho Inc.,4477 Emerald Street,Suite B-100,ID,83706,info@disabilityrightsidaho.org,http://disabilityrightsidaho.o,208-336-5353,208-336-5353,866-262-3462,866-262-3462,208-336-5396,Corinna H. Stiles,Corinna H. Stiles,208-336-5353
2011,Iowa,Published,Iowa Client Assistance Program,"DHR, Office of Persons with Disabilities",Lucas State Office Bldg.,Des Moines,50319,jackie.wipperman@iowa.gov,http://www.humanrights.iowa.gov/pd/client_assis_program/inde,(800)652-4298,(800)652-4298,(800)652-4298,(800)652-4298,(515)242-6119,Iowa Client Assistance Program,"DHR, Office of Persons with Disabilities",Lucas State Office Bldg.,IA,50319,jackie.wipperman@iowa.gov,http://www.humanrights.iowa.gov/pd/client_assis_program/inde,(800)652-4298,(800)652-4298,(800)652-4298,(800)652-4298,(515)242-6119,Jackie Wipperman,Jackie Wipperman,(800)652-4298
2011,Kentucky,Published,Kentucky Client Assistance Program,275 E. Main Street,2nd Floor,Frankfort,40621,vanessa.denham@ky.gov,http://kycap.ky.gov,502-564-8035,,800-633-6283,,502-564-1566,Kentucky Client Assistance Program,275 E. Main Street,2nd Floor,KY,40621,vanessa.denham@ky.gov,http://kycap.ky.gov,502-564-8035,,800-633-6283,,502-564-1566,Geraldine Gordon-Brown,Vanessa Denham,502-564-8035
2011,Maine,Published,Bureau of Rehabilitation Services,150 State House Station,,Augusta,4333,Paul.E.Cote@state.me.us,http://www.maine.gov,207-624-5977,207-624-5977,1-888-755-0023,1-888-755-0023,207-624-5980,"C.A.R.E.S., Inc.",134 Main St.,Suite 2C,ME,4364,steve.beam@caresinc.org,http://www.caresinc.org,207-377-7055,207-377-7055,1-800-773-7055,1-800-773-7055,207-377-7057,Steve Beam,Steve Beam,207-377-7055
2011,Massachusetts,Published,Massachusetts Office on Disability,One Ashburton Place #1305,,Boston,2108,naomi.goldberg@state.ma.us,http://www.mass.gov/mod,617-727-7440,617-727-7440,617-322-2020,617-322-2020,617-727-0965,Massachusetts Office on Disability,One Ashburton Place #1305,,MA,2108,naomi.goldberg@state.ma.us,http://www.mass.gov/mod,617-727-7440,617-727-7440,617-322-2020,617-322-2020,617-727-0965,Naomi Goldberg,Naomi Goldberg,617-727-7440
2011,Minnesota,Published,Legal Aid Society of Minneapolis,430 1st Avenue N.,Suite 300,Minneapolis,55401,mndlc@midmnlegal.org,http://www.mndlc.org,6123321441,6123324668,8002924150,,6123345755,Legal Aid Society of Minneapolis,430 1st Avenue N.,Suite 300,MN,55401,mndlc@midmnlegal.org,http://www.mndlc.org,6123321441,6123324668,8002924150,,6123345755,Dan Stewart,Brenda Jursik,6127463768
