,,,,,
,,,,,
State,Grantee,PR Award ID,Current Awards FY 2018,Total Awarded FY 2017,Total Awarded FY 2016
Alabama,ALABAMA DIVISION OF REHAB. SERVICES AND CHILDREN’S REHAB SERVS,H161A180057,"$164,096","$164,852","$165,898"
Alaska,STATE OF ALASKA DEPARTMENT OF EDUCATION AND EARLY DEVELOPMENT,H161A180061,"$131,917","$131,917","$131,917"
Arizona,Arizona Center for Disability Law,H161A180002,"$233,866","$231,658","$230,285"
Arkansas,"Disability Rights Arkansas, Inc",H161A180003,"$131,917","$131,917","$131,917"
California,Disability Rights California,H161A180066,"$1,324,362","$1,328,074","$1,327,440"
Colorado,Center for Legal Advocacy,H161A180005,"$186,947","$185,127","$183,225"
Connecticut,Connecticut Office of Protection and Advocacy,H161A160006,—,—,"$105,704"
Connecticut,Disability Rights Connecticut,H161A180071,"$131,917","$131,917","$26,213"
Delaware,"UNITED CEREBRAL PALSY, INC. - CLIENT ASSISTANCE PROGRAM",H161A180007,"$131,917","$131,917","$131,917"
District of Columbia,"UNIVERSITY LEGAL SERVICES, INC.",H161A180062,"$47,023","$131,917","$131,917"
Florida,Disability Rights Florida,H161A180009,"$695,498","$687,749","$680,553"
Georgia,GEORGIA CLIENT ASSISTANCE PROGRAM (CAP),H161A180060,"$347,889","$346,562","$345,432"
Hawaii,Hawaii Disability Rights Center,H161A180012,"$131,917","$131,917","$131,917"
Idaho,"DisAbility Rights Idaho, Inc.",H161A180059,"$131,917","$131,917","$131,917"
Illinois,ILLINOIS DEPT OF HUMAN SERVS,H161A180014,"$431,945","$436,304","$440,647"
Indiana,INDIANA P and A SERVICES,H161A180015,"$223,810","$224,588","$225,680"
Iowa,"IOWA DEPT OF HUMAN
RIGHTS - Office with Person with Disabilities",H161A180016,"$131,917","$131,917","$131,917"
Kansas,DISABILITY RIGHTS CENTER OF KANSAS,H161A180013,"$131,917","$131,917","$131,917"
Kentucky,KENTUCKY CLIENT ASSISTANCE PROGRAM,H161A180018,"$149,711","$150,131","$150,985"
Louisiana,Advocacy Center,H161A180019,"$157,967","$158,465","$159,066"
Maine,Maine Dept. of Labor,H161A180020,"$131,917","$131,917","$131,917"
Maryland,MARYLAND STATE DEPARTMENT OF EDUCATION,H161A180021,"$203,005","$203,781","$204,454"
Massachusetts,MASSACHUSETTS OFFICE OF DISABILITIES -- CLIENT ASSISTANCE PROGRAM,H161A180022,"$229,841","$230,516","$230,762"
Michigan,"MICHIGAN PROTECTION AND ADVOCACY SERVICES, INC. -- CLIENT ASSISTANCE PROGRAM",H161A180010,"$334,997","$336,646","$339,019"
