"","State","disab_16","disab_17","dollar_2018","dollar_2017","dollar_2016","pop_18","pop_17","pop_16"
"1","Alabama",777592,775390,164096,164852,165898,4887871,4875120,4864745
"2","Alaska",80492,83410,131917,131917,131917,737438,739786,741504
"3","Arizona",833586,854637,233866,231658,230285,7171646,7048876,6945452
"4","Arkansas",492769,501757,131917,131917,131917,3013825,3002997,2990410
"5","California",4028190,4088523,1324362,1328074,1327440,39557045,39399349,39209127
"6","Colorado",550037,565570,186947,185127,183225,5695564,5615902,5540921
"7","Connecticut",384525,389368,131917,131917,131917,3572665,3573880,3578674
"8","Delaware",113138,111783,131917,131917,131917,967171,957078,949216
"9","District of Columbia",73230,77368,131917,131917,131917,702455,695691,686575
"10","Florida",2615568,2673685,695498,687749,680553,21299325,20976812,20629982
"11","Georgia",1223531,1237621,347889,346562,345432,10519475,10413055,10304763
"12","Hawaii",152540,153544,131917,131917,131917,1420491,1424203,1428105
"13","Idaho",210537,217575,131917,131917,131917,1754208,1718904,1682930
"14","Illinois",1376858,1388827,431945,436304,440647,12741080,12786196,12826895
"15","Indiana",883589,899267,223810,224588,225680,6691878,6660082,6633344
"16","Iowa",356817,356551,131917,131917,131917,3156145,3143637,3131785
"17","Kansas",353735,361479,131917,131917,131917,2911505,2910689,2911263
"18","Kentucky",745988,751563,149711,150131,150985,4468402,4453874,4438229
"19","Louisiana",681837,680623,157967,158465,159066,4659978,4670818,4678215
"20","Maine",208854,208646,131917,131917,131917,1338404,1335063,1331370
"21","Maryland",625691,638104,203005,203781,204454,6042718,6024891,6004692
"22","Massachusetts",773726,781740,229841,230516,230762,6902149,6863246,6826022
"23","Michigan",1394263,1401476,334997,336646,339019,9995915,9976447,9951890
"24","Minnesota",573406,584974,186252,186247,186691,5611179,5568155,5523409
"25","Mississippi",478109,476197,131917,131917,131917,2986530,2989663,2988298
"26","Missouri",858449,865207,205588,206402,207437,6126452,6108612,6087203
"27","Montana",136325,138205,131917,131917,131917,1062305,1053090,1040863
"28","Nebraska",208135,213642,131917,131917,131917,1929268,1917575,1905924
"29","Nevada",363226,370381,131917,131917,131917,3034392,2972405,2919772
"30","New Hampshire",161401,165149,131917,131917,131917,1356458,1349767,1342373
"31","New Jersey",917275,925580,301801,303921,305777,8908520,8888543,8874516
"32","New Mexico",305601,308280,191394,191394,191394,2095428,2093395,2092789
"33","New York",2187789,2232221,666239,671617,675522,19542209,19590719,19641589
"34","North Carolina",1331570,1344677,342369,340725,340185,10383620,10270800,10156679
"35","North Dakota",77651,78060,131917,131917,131917,760077,755176,754353
"36","Ohio",1571654,1583200,391888,394012,396639,11689442,11664129,11635003
"37","Oklahoma",594454,606072,132387,132701,132669,3943079,3932640,3926769
"38","Oregon",577998,580941,138120,136692,135823,4190713,4146592,4091404
"39","Pennsylvania",1719069,1730190,431361,434354,437453,12807060,12790447,12783538
"40","Rhode Island",136002,138199,131917,131917,131917,1057315,1056486,1057063
"41","South Carolina",691835,706323,167396,166113,165320,5084127,5021219,4958235
"42","South Dakota",102319,101568,131917,131917,131917,882235,873286,862890
"43","Tennessee",989612,1001684,224422,223930,224055,6770010,6708794,6645011
"44","Texas",3083141,3120572,940130,931952,922203,28701845,28322717,27937492
"45","Utah",279406,285608,131917,131917,131917,3161105,3103118,3042613
"46","Vermont",87058,88112,131917,131917,131917,626299,624525,623644
"47","Virginia",915366,936175,283828,284412,284844,8517685,8465207,8410946
"48","Washington",889964,906836,245909,243270,241576,7535591,7425432,7294680
"49","West Virginia",355250,356167,131917,131917,131917,1805832,1817048,1830929
"50","Wisconsin",671220,675224,194983,195806,196967,5813568,5792051,5772958
"51","Wyoming",72151,74131,131917,131917,131917,577737,578934,584290
"52","Puerto Rico",745561,734789,131917,131917,131917,3195153,3325001,3406495
