,State,is_PA,work_pop_p,work_pop_lm,f_pop_p,f_pop_lm,f_work_p,f_work_lm,d_7_pop_p,d_7_pop_lm,d_7_work_p,d_7_work_lm,c_5_pop_p,c_5_pop_lm,c_5_work_p,c_5_work_lm,c_6_pop_p,c_6_pop_lm,c_6_work_p,c_6_work_lm,c_7_pop_p,c_7_pop_lm,c_7_work_p,c_7_work_lm,agg_grp,pop_cat
1,Alabama,FALSE,0.0452,0.0764,0.0224,0.0596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
2,Alaska,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
3,Alaska,TRUE,NA,NA,NA,NA,NA,NA,0.0416,0.031,0.035,0.0164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
4,Arizona,TRUE,NA,NA,0.0382,0.1,0.035,0.0478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
5,Arkansas,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
6,California,FALSE,NA,NA,NA,NA,0.0088,0.1482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
7,California,TRUE,NA,NA,0.0054,-0.1077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
8,Colorado,TRUE,0.0097,-0.0438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
9,Connecticut,TRUE,NA,NA,NA,NA,NA,NA,0.0341,-0.0063,0.0336,-0.0051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
10,Delaware,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
11,District of Columbia,TRUE,NA,NA,0.0084,-0.6053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0242,-0.2575,NA,NA,NA,NA,NA,NA,5,NA
12,Florida,TRUE,0.024,-0.2007,0.0173,-0.1133,NA,NA,NA,NA,NA,NA,0.0132,-0.0312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
13,Georgia,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
14,Hawaii,TRUE,0.0028,-0.4384,5.00E-04,-0.4269,0.0093,-0.0331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
15,Idaho,TRUE,0.0243,-0.2372,0.0426,-0.2067,NA,NA,NA,NA,NA,NA,0.0096,-0.104,NA,NA,0.0305,0.0082,0.0377,0.0041,NA,NA,NA,NA,5,NA
16,Illinois,FALSE,0.0098,-0.1031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
17,Indiana,TRUE,NA,NA,NA,NA,NA,NA,0.0299,-0.0044,0.0408,-0.0041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
18,Iowa,FALSE,NA,NA,NA,NA,0.0174,0.0515,0.0299,-0.0047,0.0359,-0.0044,0.0083,-0.056,0.021,-0.0623,0.0299,-0.0047,0.0359,-0.0044,NA,NA,NA,NA,5,NA
19,Kansas,TRUE,NA,NA,0.0086,-0.1693,NA,NA,4.00E-04,-0.0112,0.0029,-0.0028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
20,Kentucky,FALSE,1.00E-04,-0.1539,0,-0.0602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
21,Louisiana,TRUE,NA,NA,0.0297,-0.0878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
22,Maine,FALSE,NA,NA,0.0262,0.2765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
23,Maryland,FALSE,0.0182,-0.1639,0.0064,-0.1198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
24,Massachusetts,FALSE,0.0032,-0.1426,0.0038,-0.1935,0.0134,-0.0674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
25,Michigan,TRUE,0.008,-0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
26,Minnesota,TRUE,0.0385,-0.1404,0.0334,-0.0657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,-0.0033,0.0065,-0.0016,5,NA
27,Mississippi,FALSE,0.0074,-0.0968,NA,NA,0.023,0.1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
28,Missouri,TRUE,0.0183,-0.0761,NA,NA,NA,NA,NA,NA,NA,NA,0.0417,-0.0044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
29,Montana,TRUE,7.00E-04,-1.0205,0.0085,-0.4717,NA,NA,NA,NA,NA,NA,NA,NA,0.0494,0.0278,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
30,Nebraska,FALSE,0.0133,-0.1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
31,Nevada,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
32,Nevada,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
33,New Hampshire,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0316,-0.027,0.0453,-0.0095,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
34,New Jersey,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
35,New Mexico,TRUE,NA,NA,0.0331,0.0336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
36,New York,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
37,New York,TRUE,NA,NA,NA,NA,0.0259,0.0516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
38,North Carolina,FALSE,0.0179,-0.091,NA,NA,0.0176,0.0152,0.0086,0.0035,0.0185,0.0033,0.004,-0.0044,0.0041,-0.0028,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
39,North Dakota,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
40,Ohio,TRUE,NA,NA,0.0487,-0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0148,-0.021,0.0319,-0.013,NA,NA,NA,NA,5,NA
41,Oklahoma,FALSE,0.0314,-0.3482,0.0115,-0.1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
