"","State","avg_black_client","avg_black_pop","dif_black","avg_native_american_client","avg_native_american_pop","dif_american_native","avg_asian_client","avg_asian_pop","dif_asian","avg_pacific_islander_clients","avg_pacific_islander_pop","dif_pacific_islander"
"1","Alabama",0.379425,0.26255,0.116875,0,0.0055,-0.0055,0,0.012475,-0.012475,0,0.00045,-0.00045
"2","Alaska",0.075725,0.032725,0.043,0.1631,0.1439,0.0192,0.01095,0.0567,-0.04575,0.010875,0.0114,-0.000525000000000001
"3","Arizona",0.1429,0.0394,0.1035,0.0348075,0.04055,-0.0057425,0.00385,0.029675,-0.025825,0,0.0018,-0.0018
"4","Arkansas",0.49295,0.153725,0.339225,0.01564,0.00715,0.00849,0,0.014,-0.014,0,0.002275,-0.002275
"5","California",0.221775,0.0577,0.164075,0.0137925,0.004325,0.0094675,0.03485,0.1344,-0.09955,0.028475,0.0036,0.024875
"6","Colorado",0.118075,0.0387,0.079375,0,0.0063,-0.0063,0.015275,0.029,-0.013725,0,0.001225,-0.001225
"7","Connecticut",0.151025,0.0971,0.053925,0,0.0021,-0.0021,0.028225,0.0415,-0.013275,0,0.000325,-0.000325
"8","Delaware",0.4635,0.211725,0.251775,0.009615,0.003175,0.00644,0.0139,0.035025,-0.021125,0,3e-04,-3e-04
"9","District of Columbia",0.70215,0.482975,0.219175,0.0041675,0.00215,0.0020175,0.01165,0.036775,-0.025125,0,4e-04,-4e-04
"10","Florida",0.273825,0.1554,0.118425,0.00891,0.002575,0.006335,0.010325,0.02555,-0.015225,0.00085,6e-04,0.00025
"11","Georgia",0.508775,0.3059,0.202875,0.004505,0.00225,0.002255,0.0148,0.0356,-0.0208,0.00155,6e-04,0.00095
"12","Hawaii",0.018775,0.017175,0.0016,0,0.00215,-0.00215,0.1959,0.371675,-0.175775,0.158325,0.0954,0.062925
"13","Idaho",0.01505,0.00625,0.0088,0.05078,0.0112,0.03958,0.004175,0.012675,-0.0085,0.008075,0.0015,0.006575
"14","Illinois",0.2326,0.142375,0.090225,0.0018375,0.0015,0.0003375,0.007575,0.049975,-0.0424,0.00185,0.000275,0.001575
"15","Indiana",0.221475,0.091625,0.12985,0,0.002225,-0.002225,0.00325,0.018625,-0.015375,0,3e-04,-3e-04
"16","Iowa",0.057225,0.0311,0.026125,0.0159725,0.002875,0.0130975,0,0.02095,-0.02095,0,0.000725,-0.000725
"17","Kansas",0.2306,0.05795,0.17265,0.02514,0.008025,0.017115,0,0.026125,-0.026125,0,0.000725,-0.000725
"18","Kentucky",0.207,0.0789,0.1281,0.0040325,0.00205,0.0019825,0,0.012725,-0.012725,0,0.000525,-0.000525
"19","Louisiana",0.44445,0.32045,0.124,0.013815,0.0063,0.007515,0.007925,0.0163,-0.008375,0,4e-04,-4e-04
"20","Maine",0.0325,0.012975,0.019525,0.008465,0.006325,0.00214,0.002725,0.010975,-0.00825,0,0.000275,-0.000275
"21","Maryland",0.56885,0.2928,0.27605,0.001735,0.0024,-0.000665,0.003475,0.05935,-0.055875,0.003825,5e-04,0.003325
"22","Massachusetts",0.186075,0.0666,0.119475,0.0056675,0.0018,0.0038675,0.0315,0.0593,-0.0278,0,4e-04,-4e-04
"23","Michigan",0.5311,0.139725,0.391375,0.00628,0.0056,0.00068,0.008275,0.027175,-0.0189,0,0.00025,-0.00025
