"","State","avg_black_client","avg_black_pop","dif_black","avg_native_american_client","avg_native_american_pop","dif_american_native","avg_asian_client","avg_asian_pop","dif_asian","avg_pacific_islander_clients","avg_pacific_islander_pop","dif_pacific_islander"
"1","Alabama",0.338125,0.264775,0.07335,0,0.0056,-0.0056,0.008925,0.014125,-0.0052,0.1383,5e-04,0.1378
"2","Alaska",0.1264,0.03335,0.09305,0.2097225,0.14515,0.0645725,0,0.06235,-0.06235,0,0.012725,-0.012725
"3","Arizona",0.1335,0.042625,0.090875,0.023455,0.039925,-0.01647,0.02125,0.03315,-0.0119,0,0.00185,-0.00185
"4","Arkansas",0.469975,0.154325,0.31565,0,0.00745,-0.00745,0,0.01565,-0.01565,0,0.00295,-0.00295
"5","California",0.223475,0.05645,0.167025,0.0143825,0.004175,0.0102075,0.055575,0.1437,-0.088125,0.009125,0.0037,0.005425
"6","Colorado",0.1179,0.039975,0.077925,0,0.00635,-0.00635,0,0.031925,-0.031925,0,0.0013,-0.0013
"7","Connecticut",0.1372,0.10075,0.03645,0,0.0022,-0.0022,0.0356,0.046125,-0.010525,0,4e-04,-4e-04
"8","Delaware",0.431375,0.216725,0.21465,0,0.0031,-0.0031,0,0.03915,-0.03915,0,4e-04,-4e-04
"9","District of Columbia",0.779575,0.4586,0.320975,0,0.002025,-0.002025,0,0.041125,-0.041125,0,0.000475,-0.000475
"10","Florida",0.256925,0.15565,0.101275,0.0041025,0.0025,0.0016025,0.010375,0.0276,-0.017225,0.002675,6e-04,0.002075
"11","Georgia",0.4378,0.3125,0.1253,0.00454,0.0023,0.00224,0.025275,0.04045,-0.015175,0,6e-04,-6e-04
"12","Hawaii",0.012675,0.01935,-0.006675,0,0.002125,-0.002125,0.1848,0.3649,-0.1801,0.050475,0.09465,-0.044175
"13","Idaho",0.03165,0.00715,0.0245,0.0327,0.01115,0.02155,0.015875,0.014275,0.0016,0.008925,0.0017,0.007225
"14","Illinois",0.31905,0.1411,0.17795,0.0169625,0.0015,0.0154625,0.0039,0.055425,-0.051525,0.10155,3e-04,0.10125
"15","Indiana",0.172575,0.093925,0.07865,0,0.0023,-0.0023,0.0119,0.022675,-0.010775,0,0.00035,-0.00035
"16","Iowa",0.059525,0.03605,0.023475,0.022905,0.002975,0.01993,0.00715,0.025175,-0.018025,0,0.000975,-0.000975
