GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race
0400000US01,01,Alabama,4777326,3321318,1256097,26166,54923,1298,50685,66839,5138
0400000US02,02,Alaska,711139,477985,24219,98976,37968,7363,7836,56792,2941
0400000US04,04,Arizona,6410979,5085954,262284,283805,177598,12506,408851,179981,43515
0400000US05,05,Arkansas,2916372,2285577,453062,17390,35744,5516,62979,56104,5197
0400000US06,06,California,37325068,23252553,2254160,291505,4921543,144236,4914220,1546851,385152
0400000US08,08,Colorado,5042853,4243753,201424,49099,136882,6034,238833,166828,34265
0400000US09,09,Connecticut,3572213,2802217,355660,8531,138355,1472,178260,87718,19654
0400000US10,10,Delaware,900131,634259,192629,2877,29177,377,19896,20916,2391
0400000US11,11,District of Columbia,605759,239413,309263,2143,21440,312,20652,12536,1635
0400000US12,12,Florida,18885152,14438364,3005551,58119,464587,11575,497053,409903,86683
0400000US13,13,Georgia,9714569,5903173,2970481,24937,318530,4498,314447,178503,27078
0400000US15,15,Hawaii,1362730,339079,22399,3079,527745,133873,16244,320311,10428
0400000US16,16,Idaho,1567803,1445289,8821,19376,19097,2213,33827,39180,5028
0400000US17,17,Illinois,12823860,9298731,1860471,26669,595110,2907,789345,250627,53743
0400000US18,18,Indiana,6485530,5500814,582691,15241,102713,1533,145911,136627,19559
0400000US19,19,Iowa,3047646,2793432,88664,9708,54262,1308,44227,56045,6473
0400000US20,20,Kansas,2851183,2435253,164177,23435,68683,1603,69337,88695,10465
0400000US21,21,Kentucky,4340167,3823344,339228,8607,49681,2370,42557,74380,6626
0400000US22,22,Louisiana,4529605,2856883,1450992,28702,71460,1826,49758,69984,8346
0400000US23,23,Maine,1329084,1266435,14338,7168,13971,288,3356,23528,1257
0400000US24,24,Maryland,5785496,3408049,1700174,17323,323363,2419,181612,152556,19440
0400000US25,25,Massachusetts,6560595,5310948,446347,12908,357354,1576,263643,167819,32259
0400000US26,26,Michigan,9897264,7852317,1391269,55723,245587,2678,115310,234380,27116
0400000US27,27,Minnesota,5313081,4570137,271953,56770,216159,2087,71621,124354,10298
0400000US28,28,Mississippi,2967620,1768530,1101849,13344,26403,345,23653,33496,3183
0400000US29,29,Missouri,5982413,4972530,689683,22704,96035,5812,61349,134300,10707
0400000US30,30,Montana,990785,887924,4145,62398,6034,674,5731,23879,1203
0400000US31,31,Nebraska,1827306,1612538,82341,16461,32302,1075,43294,39295,5506
0400000US32,32,Nevada,2704204,1970074,218305,30061,196245,16472,169302,103745,17073
0400000US33,33,New Hampshire,1317474,1241440,15339,2470,28684,203,8691,20647,1950
0400000US34,34,New Jersey,8793888,6121023,1187307,21702,736015,2592,517029,208220,52277
0400000US35,35,New Mexico,2055287,1492641,41634,189785,26855,1344,240189,62839,22825
0400000US36,36,New York,19398125,12808268,3037255,69500,1445539,6477,1557020,474066,138368
0400000US37,37,North Carolina,9544249,6659867,2047092,110171,211708,4424,306516,204471,27933
0400000US38,38,North Dakota,676253,608799,8286,36160,6869,375,3937,11827,685
0400000US39,39,Ohio,11533561,9577732,1403238,21447,196395,2164,90296,242289,20636
0400000US40,40,Oklahoma,3749005,2766297,270993,261060,65643,4271,93100,287641,13030
0400000US41,41,Oregon,3836628,3272707,69377,52637,143652,14132,144084,140039,16871
0400000US42,42,Pennsylvania,12699589,10475818,1372144,19247,351626,3821,244336,232597,34143
0400000US44,44,Rhode Island,1052471,859686,64711,4784,31863,350,64291,26786,6487
0400000US45,45,South Carolina,4630351,3108466,1290704,15122,57635,1791,75211,81422,8035
0400000US46,46,South Dakota,815871,701466,10331,71532,8060,157,7016,17309,1638
0400000US47,47,Tennessee,6353226,4982977,1060494,15991,92800,2765,88272,109927,11376
0400000US48,48,Texas,25208897,18670767,2972834,127794,979385,20671,1883103,554343,154584
0400000US49,49,Utah,2766233,2465277,29912,30823,56081,25766,95042,63332,11071
0400000US50,50,Vermont,625498,596251,5804,1855,7891,130,1936,11631,529
0400000US51,51,Virginia,8014955,5575445,1561042,25205,443460,5438,184403,219962,29250
0400000US53,53,Washington,6738714,5304864,238255,93416,484047,39246,267570,311316,34087
0400000US54,54,West Virginia,1850481,1737369,58260,2934,12694,531,3993,34700,1342
0400000US55,55,Wisconsin,5687219,4961852,353470,49289,129550,1302,82446,109310,14432
0400000US56,56,Wyoming,562803,513021,4689,12951,4392,206,12099,15445,2758
0400000US72,72,Puerto Rico,3716727,2631788,282162,8608,12495,44,354223,427407,18826
