"","State","avg_black_client","avg_native_american_client","avg_asian_client","avg_pacific_islander_clients","avg_black_pop","avg_native_american_pop","avg_asian_pop","avg_pacific_islander_pop","dif_black","dif_american_native","dif_asian","dif_pacific_islander"
"1","Alabama",0.358775,0,0.0044625,0.06915,0.2636625,0.00555,0.0133,0.000475,0.0951125,-0.00555,-0.0088375,0.068675
"2","Alaska",0.1010625,0.18641125,0.005475,0.0054375,0.0330375,0.144525,0.059525,0.0120625,0.068025,0.04188625,-0.05405,-0.006625
"3","Arizona",0.1382,0.02913125,0.01255,0,0.0410125,0.0402375,0.0314125,0.001825,0.0971875,-0.01110625,-0.0188625,-0.001825
"4","Arkansas",0.4814625,0.00782,0,0,0.154025,0.0073,0.014825,0.0026125,0.3274375,0.00052,-0.014825,-0.0026125
"5","California",0.222625,0.0140875,0.0452125,0.0188,0.057075,0.00425,0.13905,0.00365,0.16555,0.0098375,-0.0938375,0.01515
"6","Colorado",0.1179875,0,0.0076375,0,0.0393375,0.006325,0.0304625,0.0012625,0.07865,-0.006325,-0.022825,-0.0012625
"7","Connecticut",0.146625,0,0.03275,0,0.098925,0.00215,0.0438125,0.0003625,0.0477,-0.00215,-0.0110625,-0.0003625
"8","Delaware",0.4474375,0.0048075,0.00695,0,0.214225,0.0031375,0.0370875,0.00035,0.2332125,0.00167,-0.0301375,-0.00035
"9","District of Columbia",0.8923875,0.00208375,0.005825,0,0.4707875,0.0020875,0.03895,0.0004375,0.4216,-3.74999999999985e-06,-0.033125,-0.0004375
"10","Florida",0.265375,0.00650625,0.01035,0.0017625,0.155525,0.0025375,0.026575,6e-04,0.10985,0.00396875,-0.016225,0.0011625
"11","Georgia",0.4732875,0.0045225,0.0200375,0.000775,0.3092,0.002275,0.038025,6e-04,0.1640875,0.0022475,-0.0179875,0.000175
"12","Hawaii",0.015725,0,0.19035,0.1044,0.0182625,0.0021375,0.3682875,0.095025,-0.0025375,-0.0021375,-0.1779375,0.00937500000000001
"13","Idaho",0.02335,0.04174,0.010025,0.0085,0.0067,0.011175,0.013475,0.0016,0.01665,0.030565,-0.00345,0.0069
"14","Illinois",0.275825,0.0094,0.0057375,0.0517,0.1417375,0.0015,0.0527,0.0002875,0.1340875,0.0079,-0.0469625,0.0514125
"15","Indiana",0.197025,0,0.007575,0,0.092775,0.0022625,0.02065,0.000325,0.10425,-0.0022625,-0.013075,-0.000325
"16","Iowa",0.058375,0.01943875,0.003575,0,0.033575,0.002925,0.0230625,0.00085,0.0248,0.01651375,-0.0194875,-0.00085
"17","Kansas",0.1988875,0.01603875,0,0,0.0579,0.0079625,0.0279875,0.0007875,0.1409875,0.00807625,-0.0279875,-0.0007875
"18","Kentucky",0.1926875,0.00201625,0,0,0.079925,0.002075,0.0139125,0.0005625,0.1127625,-5.87500000000002e-05,-0.0139125,-0.0005625
"19","Louisiana",0.4132875,0.01366875,0.0068625,0,0.3211,0.0063625,0.0167625,4e-04,0.0921875,0.00730625,-0.0099,-4e-04
"20","Maine",0.0279125,0.0042325,0.0025125,0.002675,0.0139375,0.006425,0.01145,0.0002875,0.013975,-0.0021925,-0.0089375,0.0023875
"21","Maryland",0.5069125,0.001945,0.0131125,0.0019125,0.2948,0.0024,0.0618,5e-04,0.2121125,-0.000455,-0.0486875,0.0014125
"22","Massachusetts",0.1683625,0.01068,0.030625,0,0.0688125,0.0018,0.06325,4e-04,0.09955,0.00888,-0.032625,-4e-04
"23","Michigan",0.468375,0.00819,0.00815,0,0.1389625,0.0056375,0.029425,0.000275,0.3294125,0.0025525,-0.021275,-0.000275
"24","Minnesota",0.0991125,0.02001,0.0249125,0,0.0587375,0.010675,0.0466625,0.0004375,0.040375,0.009335,-0.02175,-0.0004375
"25","Mississippi",0.429575,0,0.0054375,0,0.3724375,0.0048625,0.009875,0.000325,0.0571375,-0.0048625,-0.0044375,-0.000325
"26","Missouri",0.321275,0.008465,0.0126,0.065475,0.115875,0.0042125,0.0189375,0.00115,0.2054,0.0042525,-0.0063375,0.064325
"27","Montana",0.00665,0.1410725,0.0018375,0.0013125,0.0049875,0.061225,0.00785,0.000675,0.0016625,0.0798475,-0.0060125,0.0006375
"28","Nebraska",0.0987,0.0107275,0.010725,0,0.0467,0.008225,0.022225,6e-04,0.052,0.0025025,-0.0115,-6e-04
"29","Nevada",0.2199625,0.03083125,0.0159125,0.004625,0.0845,0.008675,0.0778625,0.006,0.1354625,0.02215625,-0.06195,-0.001375
"30","New Hampshire",0.0273125,0,0.01875,0.0040375,0.0125375,0.0021,0.0268625,0.0002875,0.014775,-0.0021,-0.0081125,0.00375
