,,Hispanic/Latino (of any race),"American Indian/Alaskan
Native",Asian,Black/African American,"Native Hawaiian/Pacific
 Islander",White,Two or more races *,"Unknown
Not Provided","Total 
Clients"
2017,AK,3,6,1,0,0,23,3,2,38
2017,AL,1,0,0,64,0,113,1,0,179
2017,AR,3,0,0,29,0,80,1,0,113
2017,AS,0,0,0,0,0,0,0,0,0
2017,AZ,95,5,8,36,1,226,7,0,378
2017,CA,511,10,68,163,22,646,45,37,"1,502"
2017,CO,36,3,3,16,1,160,0,14,233
2017,CT,12,0,0,10,0,92,0,1,115
2017,DC,4,0,0,59,0,10,3,0,76
2017,DE,4,0,2,53,0,96,12,4,171
2017,FL,74,2,7,61,1,267,29,8,449
2017,GA,7,0,2,84,0,125,1,0,219
2017,GU,1,0,10,0,39,2,1,0,53
2017,HI,5,0,37,7,18,65,130,0,262
2017,IA,1,0,1,4,0,65,2,0,73
2017,ID,8,2,1,1,0,84,2,15,113
2017,IL,173,1,29,172,0,311,58,17,761
2017,IN,1,0,1,14,0,122,0,9,147
2017,KS,16,4,3,31,0,258,14,9,335
2017,KY,Rejected,,,,,,,,0
2017,LA,8,1,0,66,0,135,4,0,214
2017,MA,54,2,7,18,0,102,1,0,184
2017,MD,9,0,5,74,0,103,9,0,200
2017,ME,3,5,1,8,0,476,6,0,499
2017,MI,9,6,3,56,0,94,5,8,181
2017,MN,11,9,13,35,1,189,14,30,302
2017,MO,3,1,1,37,0,138,4,0,184
2017,MP,Missing,,,,,,,,0
2017,MS,1,0,0,75,0,81,0,6,163
2017,MT,0,10,0,1,0,47,0,3,61
2017,NA,0,21,0,0,0,0,1,0,22
2017,NC,5,1,2,44,0,147,3,6,208
2017,ND,15,64,6,13,1,543,6,11,659
2017,NE,7,1,0,1,0,26,1,0,36
2017,NH,4,1,7,8,0,286,6,9,321
2017,NJ,156,1,20,102,0,448,14,76,817
2017,NM,52,10,0,1,0,72,0,0,135
2017,NV,27,0,1,4,0,22,3,1,58
2017,NY,39,0,1,56,0,164,20,2,282
2017,OH,10,1,2,58,2,321,14,125,533
2017,OK,3,6,1,5,0,39,7,0,61
2017,OR,14,1,1,4,0,30,3,62,115
2017,PA,27,4,1,74,0,339,8,20,473
2017,PR,659,0,0,0,0,0,659,0,"1,318"
2017,RI,21,1,3,12,0,187,2,15,241
2017,SC,11,0,0,39,0,74,0,2,126
2017,SD,3,22,1,2,0,76,4,1,109
2017,TN,5,0,2,30,0,84,3,0,124
2017,TX,237,4,1,104,2,337,14,29,728
2017,UT,32,3,4,5,2,222,0,23,291
2017,VA,7,2,4,44,0,67,3,4,131
2017,VI,9,0,0,19,0,3,0,1,32
2017,VT,2,1,5,3,0,191,0,46,248
2017,WA,6,7,4,6,0,65,19,26,133
2017,WI,12,3,4,22,0,107,12,1,161
2017,WV,1,1,0,5,0,59,3,0,69
2017,WY,6,3,0,0,0,49,0,0,58
2017,TOTAL,"2,423",225,273,"1,835",90,"8,068","1,157",623,"14,694"
2016,AK,2,15,1,4,0,28,2,1,53
2016,AL,1,0,1,83,0,149,1,0,235
2016,AR,6,1,0,42,0,97,1,0,147
2016,AS,0,0,0,0,21,0,0,0,21
2016,AZ,134,8,9,37,3,202,9,0,402
2016,CA,397,5,49,108,16,541,53,50,"1,219"
2016,CO,65,5,2,17,2,214,4,19,328
2016,CT,24,0,0,18,0,128,1,0,171
2016,DC,1,0,0,72,0,14,4,0,91
2016,DE,1,0,2,55,1,93,22,0,174
2016,FL,73,3,4,59,1,234,23,13,410
2016,GA,9,0,1,118,0,120,1,3,252
2016,GU,1,0,7,2,23,3,0,0,36
2016,HI,12,0,47,5,13,68,157,0,302
2016,IA,3,2,1,3,1,46,5,0,61
2016,ID,10,1,1,3,0,111,3,0,129
2016,IL,147,4,24,190,0,331,50,11,757
2016,IN,3,0,0,5,0,109,2,0,119
2016,KS,22,2,5,17,1,250,12,13,322
2016,KY,6,1,1,31,0,262,19,0,320
2016,LA,6,0,1,98,0,128,7,2,242
2016,MA,24,1,5,26,1,121,0,14,192
2016,MD,15,0,3,61,0,116,5,2,202
2016,ME,6,6,1,8,0,560,8,198,787
2016,MI,13,6,3,102,0,168,5,3,300
2016,MN,10,10,1,47,3,198,3,37,309
2016,MO,4,3,1,39,0,122,8,0,177
2016,MP,0,0,7,1,15,1,0,0,24
2016,MS,4,0,0,64,0,58,0,2,128
2016,MT,0,2,1,0,0,73,1,1,78
2016,NC,6,1,2,42,0,111,3,2,167
2016,ND,12,62,5,12,0,529,5,7,632
