States,Served,Asian,Black,White,"Multiple 
Races","Native 
American","Pacific 
Islander","Ethnicity 
Total",Hispanic,Not Hispanic
ALABAMA ,287,1,133,151,2,0,0,287,3,284
ALASKA ,72,1,7,48,3,13,0,74,2,72
AMERICAN SAMOA ,31,1,0,0,1,0,29,0,0,0
ARIZONA ,195,2,20,162,6,4,1,231,36,195
ARKANSAS ,125,1,41,77,4,1,1,128,3,125
CALIFORNIA ,766,33,138,536,40,10,9,859,135,724
COLORADO ,76,1,24,50,0,1,0,76,10,66
CONNECTICUT ,117,3,28,86,0,0,0,138,21,117
DELAWARE ,183,2,68,112,1,0,0,194,11,183
DISTRICT OF COLUMBIA ,113,0,92,17,3,1,0,117,9,108
FLORIDA ,182,2,65,108,5,2,0,98,12,86
GEORGIA ,124,1,51,67,3,2,0,124,5,119
GUAM ,24,4,0,6,0,1,13,24,0,24
HAWAII ,260,39,9,74,108,1,29,260,11,249
IDAHO ,184,2,1,167,9,3,2,197,13,184
ILLINOIS ,319,11,103,189,13,3,0,359,52,307
INDIANA ,80,0,15,62,3,0,0,82,0,82
IOWA ,64,0,9,50,4,1,0,68,4,64
KANSAS ,397,0,46,341,7,3,0,422,20,402
KENTUCKY ,167,0,48,115,4,0,0,167,3,164
LOUISIANA ,126,0,62,58,5,1,0,130,4,126
MAINE ,182,1,4,168,2,6,1,237,1,236
MARYLAND ,176,0,112,61,3,0,0,146,3,143
MASSACHUSETTS ,92,2,13,77,0,0,0,101,9,92
MICHIGAN ,90,4,22,60,2,2,0,90,5,85
MINNESOTA ,203,2,44,135,11,11,0,209,6,203
MISSISSIPPI ,103,0,57,46,0,0,0,103,4,99
MISSOURI ,228,0,63,162,0,3,0,228,0,228
MONTANA ,281,0,2,245,1,33,0,284,3,281
NATIVE AMERICAN,33,0,0,0,0,33,0,0,0,0
NEBRASKA ,37,1,5,27,3,1,0,39,2,37
NEVADA ,41,0,17,19,3,2,0,46,5,41
NEW HAMPSHIRE ,369,1,6,345,11,6,0,379,10,369
NEW JERSEY ,301,3,68,222,8,0,0,301,38,263
NEW MEXICO ,63,1,2,56,0,4,0,102,39,63
NEW YORK ,388,3,116,234,35,0,0,417,49,368
NORTH CAROLINA ,189,1,81,97,7,3,0,189,5,184
NORTH DAKOTA ,220,3,6,159,5,46,1,223,13,210
NORTHERN MARIANAS ISLANDS ,27,7,1,1,5,0,13,16,0,16
OHIO ,665,2,203,446,12,2,0,9,9,0
OKLAHOMA ,75,0,11,52,8,4,0,82,7,75
OREGON ,56,1,4,49,0,2,0,6,6,0
PENNSYLVANIA ,287,0,80,201,3,2,1,345,16,329
PUERTO RICO ,0,0,0,0,0,0,0,141,141,0
RHODE ISLAND ,234,2,13,209,9,1,0,249,11,238
SOUTH CAROLINA ,206,0,99,93,12,1,1,206,5,201
SOUTH DAKOTA ,116,0,2,94,2,18,0,127,11,116
TENNESSEE ,89,0,31,55,2,0,1,89,1,88
TEXAS ,726,4,256,446,15,5,0,977,248,729
UTAH ,88,1,4,78,4,1,0,96,8,88
VERMONT ,94,0,2,85,7,0,0,98,4,94
VIRGIN ISLANDS ,19,0,19,0,0,0,0,20,1,19
VIRGINIA ,102,1,33,66,2,0,0,106,4,102
WASHINGTON ,279,5,58,196,13,7,0,302,23,279
WEST VIRGINIA ,52,0,7,42,2,1,0,53,0,53
WISCONSIN ,115,2,19,82,10,1,1,5,5,0
WYOMING ,27,1,0,24,0,2,0,2,2,0
Total,"10,145 ",152 ,"2,420 ","6,808 ",418 ,244 ,103 ,"10,058 ","1,048 ","9,010 "
Pourcentage,100%,1%,24%,67%,4%,2%,1%,100%,10%,90%
,,,,,,,,,,
